city,cityId,city2,city2Id,routeId
Adak,1,Anchorage,3,13
Adak,1,Seattle,108,1108
Albuquerque,2,Anchorage,3,23
Albuquerque,2,Portland,89,289
Albuquerque,2,San Francisco,102,2102
Albuquerque,2,Santa Ana,105,2105
Albuquerque,2,Seattle,108,2108
Anchorage,3,Adak,1,31
Anchorage,3,Albuquerque,2,32
Anchorage,3,Atlanta,4,34
Anchorage,3,Austin,5,35
Anchorage,3,Baltimore,6,36
Anchorage,3,Barrow,7,37
Anchorage,3,Bethel,10,310
Anchorage,3,Boise,12,312
Anchorage,3,Boston,13,313
Anchorage,3,Bozeman,14,314
Anchorage,3,Chicago,19,319
Anchorage,3,Columbus,22,322
Anchorage,3,Cordova,23,323
Anchorage,3,Dallas,24,324
Anchorage,3,Denver,25,325
Anchorage,3,Detroit,26,326
Anchorage,3,Dillingham,27,327
Anchorage,3,Dutch Harbor,28,328
Anchorage,3,Everett,32,332
Anchorage,3,Fairbanks,33,333
Anchorage,3,Fort Lauderdale,34,334
Anchorage,3,Honolulu,42,342
Anchorage,3,Houston,43,343
Anchorage,3,Indianapolis,45,345
Anchorage,3,Juneau,48,348
Anchorage,3,Kansas City,50,350
Anchorage,3,Ketchikan,52,352
Anchorage,3,King Salmon,53,353
Anchorage,3,Kodiak,54,354
Anchorage,3,Kona,55,355
Anchorage,3,Kotzebue,56,356
Anchorage,3,Las Vegas,58,358
Anchorage,3,Los Angeles,62,362
Anchorage,3,Maui,63,363
Anchorage,3,Minneapolis,68,368
Anchorage,3,Nashville,72,372
Anchorage,3,New Orleans,74,374
Anchorage,3,New York,75,375
Anchorage,3,Newark,76,376
Anchorage,3,Nome,77,377
Anchorage,3,Oakland,78,378
Anchorage,3,Oklahoma City,79,379
Anchorage,3,Omaha,80,380
Anchorage,3,Ontario,81,381
Anchorage,3,Orlando,82,382
Anchorage,3,Palm Springs,83,383
Anchorage,3,Philadelphia,86,386
Anchorage,3,Phoenix,87,387
Anchorage,3,Pittsburgh,88,388
Anchorage,3,Portland,89,389
Anchorage,3,Prudhoe Bay,90,390
Anchorage,3,Redding,94,394
Anchorage,3,Reno,96,396
Anchorage,3,Sacramento,97,397
Anchorage,3,Saint Louis,98,398
Anchorage,3,Salt Lake City,99,399
Anchorage,3,San Antonio,100,3100
Anchorage,3,San Diego,101,3101
Anchorage,3,San Francisco,102,3102
Anchorage,3,San Jose,103,3103
Anchorage,3,San Luis Obispo,104,3104
Anchorage,3,Santa Ana,105,3105
Anchorage,3,Santa Rosa,107,3107
Anchorage,3,Seattle,108,3108
Anchorage,3,Sitka,109,3109
Anchorage,3,Spokane,110,3110
Anchorage,3,Tampa,113,3113
Anchorage,3,Washington D.C.,121,3121
Atlanta,4,Anchorage,3,43
Atlanta,4,Bellingham,9,49
Atlanta,4,Charleston,18,418
Atlanta,4,Fairbanks,33,433
Atlanta,4,Fresno,36,436
Atlanta,4,Kona,55,455
Atlanta,4,Los Angeles,62,462
Atlanta,4,Maui,63,463
Atlanta,4,Portland,89,489
Atlanta,4,San Diego,101,4101
Atlanta,4,Seattle,108,4108
Atlanta,4,Vancouver,118,4118
Austin,5,Anchorage,3,53
Austin,5,Boise,12,512
Austin,5,Los Angeles,62,562
Austin,5,Palm Springs,83,583
Austin,5,Portland,89,589
Austin,5,Redding,94,594
Austin,5,San Diego,101,5101
Austin,5,San Francisco,102,5102
Austin,5,San Jose,103,5103
Austin,5,Seattle,108,5108
Baltimore,6,Anchorage,3,63
Baltimore,6,Eugene,31,631
Baltimore,6,Honolulu,42,642
Baltimore,6,Los Angeles,62,662
Baltimore,6,Pasco,84,684
Baltimore,6,Pittsburgh,88,688
Baltimore,6,Portland,89,689
Baltimore,6,San Francisco,102,6102
Baltimore,6,Seattle,108,6108
Barrow,7,Anchorage,3,73
Barrow,7,Bozeman,14,714
Barrow,7,Fairbanks,33,733
Barrow,7,Ontario,81,781
Barrow,7,Prudhoe Bay,90,790
Barrow,7,Redding,94,794
Barrow,7,Reno,96,796
Barrow,7,Sacramento,97,797
